,Michael,Dwight,Pam,Kevin,Oscar,Jim,Angela
Michael,0,47483,38747,18552,17970,36161,15543
Dwight,20538,0,13797,6509,6552,25823,9189
Pam,11940,8837,0,4824,4300,19783,4341
Kevin,3208,2687,2971,0,3618,3009,3244
Oscar,3939,2963,2689,4123,0,2821,3512
Jim,13089,20245,23463,6731,4775,0,4137
Angela,2408,4731,3386,4072,3944,1761,0
