speaker,Encounter With,season,Shared Episodes
Phyllis,Documentary Crew Member,1,1
Documentary Crew Member,Roy,1,1
Roy,Documentary Crew Member,1,1
Documentary Crew Member,Ryan,1,1
Ryan,Documentary Crew Member,1,1
Documentary Crew Member,Stanley,1,1
Stanley,Documentary Crew Member,1,1
Documentary Crew Member,Todd Packer,1,1
Todd Packer,Documentary Crew Member,1,1
Dwight,Jan,1,3
Dwight,Jan,2,11
Dwight,Jan,3,16
Dwight,Jan,4,7
Dwight,Jan,5,2
Dwight,Jan,7,2
Dwight,Jan,9,2
Jan,Dwight,1,3
Jan,Dwight,2,11
Jan,Dwight,3,16
Jan,Dwight,4,7
Jan,Dwight,5,2
Jan,Dwight,7,2
Jan,Dwight,9,2
Dwight,Jim,1,6
Dwight,Jim,2,22
Dwight,Jim,3,23
Dwight,Jim,4,14
Dwight,Jim,5,26
Dwight,Jim,6,23
Dwight,Jim,7,24
Dwight,Jim,8,24
Dwight,Jim,9,23
Jim,Dwight,1,6
Jim,Dwight,2,22
Jim,Dwight,3,23
Jim,Dwight,4,14
Jim,Dwight,5,26
Jim,Dwight,6,23
Jim,Dwight,7,24
Jim,Dwight,8,24
Jim,Dwight,9,23
Dwight,Kevin,1,6
Dwight,Kevin,2,21
Dwight,Kevin,3,23
Dwight,Kevin,4,13
Dwight,Kevin,5,25
Dwight,Kevin,6,23
Dwight,Kevin,7,22
Dwight,Kevin,8,24
Dwight,Kevin,9,23
Kevin,Dwight,1,6
Kevin,Dwight,2,21
Kevin,Dwight,3,23
Kevin,Dwight,4,13
Kevin,Dwight,5,25
Kevin,Dwight,6,23
Kevin,Dwight,7,22
Kevin,Dwight,8,24
Kevin,Dwight,9,23
Dwight,Man,1,1
Dwight,Man,2,2
Dwight,Man,3,4
Dwight,Man,4,2
Dwight,Man,5,3
Dwight,Man,7,2
Dwight,Man,8,2
Dwight,Man,9,2
Man,Dwight,1,1
Man,Dwight,2,2
Man,Dwight,3,4
Man,Dwight,4,2
Man,Dwight,5,3
Man,Dwight,7,2
Man,Dwight,8,2
Man,Dwight,9,2
Dwight,Michael,1,6
Dwight,Michael,2,22
Dwight,Michael,3,23
Dwight,Michael,4,14
Dwight,Michael,5,26
Dwight,Michael,6,24
Dwight,Michael,7,21
Dwight,Michael,9,1
Michael,Dwight,1,6
Michael,Dwight,2,22
Michael,Dwight,3,23
Michael,Dwight,4,14
Michael,Dwight,5,26
Michael,Dwight,6,24
Michael,Dwight,7,21
Michael,Dwight,9,1
Dwight,Michel,1,1
Dwight,Michel,5,1
Dwight,Michel,6,2
Dwight,Michel,7,1
Michel,Dwight,1,1
Michel,Dwight,5,1
Michel,Dwight,6,2
Michel,Dwight,7,1
Dwight,Oscar,1,6
Dwight,Oscar,2,21
Dwight,Oscar,3,10
Dwight,Oscar,4,13
Dwight,Oscar,5,23
Dwight,Oscar,6,23
Dwight,Oscar,7,23
Dwight,Oscar,8,24
Dwight,Oscar,9,23
Oscar,Dwight,1,6
Oscar,Dwight,2,21
Oscar,Dwight,3,10
Oscar,Dwight,4,13
Oscar,Dwight,5,23
Oscar,Dwight,6,23
Oscar,Dwight,7,23
Oscar,Dwight,8,24
Oscar,Dwight,9,23
Dwight,Pam,1,6
Dwight,Pam,2,22
Dwight,Pam,3,23
Dwight,Pam,4,14
Dwight,Pam,5,26
Dwight,Pam,6,24
Dwight,Pam,7,24
Dwight,Pam,8,20
Dwight,Pam,9,23
Pam,Dwight,1,6
Pam,Dwight,2,22
Pam,Dwight,3,23
Pam,Dwight,4,14
Pam,Dwight,5,26
Pam,Dwight,6,24
Pam,Dwight,7,24
Pam,Dwight,8,20
Pam,Dwight,9,23
Dwight,Phyllis,1,3
Dwight,Phyllis,2,20
Dwight,Phyllis,3,20
Dwight,Phyllis,4,14
Dwight,Phyllis,5,25
Dwight,Phyllis,6,22
Dwight,Phyllis,7,23
Dwight,Phyllis,8,23
Dwight,Phyllis,9,19
Phyllis,Dwight,1,3
Phyllis,Dwight,2,20
Phyllis,Dwight,3,20
Phyllis,Dwight,4,14
Phyllis,Dwight,5,25
Phyllis,Dwight,6,22
Phyllis,Dwight,7,23
Phyllis,Dwight,8,23
Phyllis,Dwight,9,19
Dwight,Roy,1,4
Dwight,Roy,2,12
Dwight,Roy,3,12
Dwight,Roy,5,1
Dwight,Roy,9,1
Roy,Dwight,1,4
Roy,Dwight,2,12
Roy,Dwight,3,12
Roy,Dwight,5,1
Roy,Dwight,9,1
Dwight,Ryan,1,6
Dwight,Ryan,2,22
Dwight,Ryan,3,22
Dwight,Ryan,4,9
Dwight,Ryan,5,12
Dwight,Ryan,6,23
Dwight,Ryan,7,23
Dwight,Ryan,8,22
Dwight,Ryan,9,2
Ryan,Dwight,1,6
Ryan,Dwight,2,22
Ryan,Dwight,3,22
Ryan,Dwight,4,9
Ryan,Dwight,5,12
Ryan,Dwight,6,23
Ryan,Dwight,7,23
Ryan,Dwight,8,22
Ryan,Dwight,9,2
Dwight,Stanley,1,6
Dwight,Stanley,2,21
Dwight,Stanley,3,23
Dwight,Stanley,4,13
Dwight,Stanley,5,25
Dwight,Stanley,6,20
Dwight,Stanley,7,21
Dwight,Stanley,8,22
Dwight,Stanley,9,20
Stanley,Dwight,1,6
Stanley,Dwight,2,21
